Round: 1, Child: 0, Score: 469.5, VisitCount: 3537, Child: 1, Score: 186.0, VisitCount: 1877, Child: 2, Score: 401.5, VisitCount: 3105, 
Round: 2, Child: 0, Score: 1653.0, VisitCount: 4069, Child: 1, Score: 281.0, VisitCount: 1225, Child: 2, Score: 124.5, VisitCount: 775, 
Round: 3, Child: 0, Score: 121.0, VisitCount: 701, Child: 1, Score: 1520.0, VisitCount: 3789, Child: 2, Score: 118.0, VisitCount: 653, 
Round: 4, Child: 0, Score: 774.0, VisitCount: 1770, Child: 1, Score: 586.5, VisitCount: 1458, Child: 2, Score: 2449.0, VisitCount: 4640, 
Round: 5, Child: 0, Score: 137.0, VisitCount: 461, Child: 1, Score: 2451.0, VisitCount: 3509, Child: 2, Score: 251.5, VisitCount: 829, 
Round: 6, Child: 0, Score: 2047.0, VisitCount: 3142, Child: 1, Score: 208.5, VisitCount: 548, Child: 2, Score: 128.0, VisitCount: 389, 
Round: 7, Child: 0, Score: 586.5, VisitCount: 1349, Child: 1, Score: 1342.0, VisitCount: 2853, Child: 2, Score: 737.5, VisitCount: 1644, 
Round: 8, Child: 0, Score: 509.5, VisitCount: 848, Child: 1, Score: 395.5, VisitCount: 722, Child: 2, Score: 2655.0, VisitCount: 3830, 
Round: 9, Child: 0, Score: 2553.5, VisitCount: 3293, Child: 1, Score: 145.0, VisitCount: 317, Child: 2, Score: 131.5, VisitCount: 261, 
Round: 10, Child: 0, Score: 2782.5, VisitCount: 3139, Child: 1, Score: 97.0, VisitCount: 191, Child: 2, Score: 79.0, VisitCount: 151, 
Round: 11, Child: 0, Score: 238.5, VisitCount: 307, Child: 1, Score: 68.0, VisitCount: 110, Child: 2, Score: 2665.5, VisitCount: 2862, 
Round: 12, Child: 0, Score: 171.0, VisitCount: 242, Child: 1, Score: 2050.5, VisitCount: 2303, Child: 2, Score: 1018.5, VisitCount: 1191, 
Round: 13, Child: 0, Score: 53.0, VisitCount: 87, Child: 1, Score: 72.0, VisitCount: 108, Child: 2, Score: 2889.0, VisitCount: 2992, 
Round: 14, Child: 0, Score: 600.0, VisitCount: 689, Child: 1, Score: 720.0, VisitCount: 816, Child: 2, Score: 1495.0, VisitCount: 1620, 
Round: 15, Child: 0, Score: 16.0, VisitCount: 38, Child: 1, Score: 1085.0, VisitCount: 1138, Child: 2, Score: 1858.0, VisitCount: 1895, 
Round: 16, Child: 0, Score: 72.0, VisitCount: 104, Child: 1, Score: 1590.0, VisitCount: 1611, Child: 2, Score: 1321.0, VisitCount: 1351, 
Round: 17, Child: 0, Score: 2921.0, VisitCount: 2924, Child: 1, Score: 30.0, VisitCount: 56, Child: 2, Score: 18.0, VisitCount: 41, 
Round: 18, Child: 0, Score: 0.0, VisitCount: 1501, Child: 1, Score: 0.0, VisitCount: 1501, 
Round: 19, Child: 0, Score: 0.0, VisitCount: 3001, 
Round: 0, Child: 0, Score: 2234.5, VisitCount: 4071, Child: 1, Score: 323.0, VisitCount: 1829, Child: 2, Score: 370.5, VisitCount: 1979, 
Round: 1, Child: 0, Score: 947.0, VisitCount: 2990, Child: 1, Score: 814.0, VisitCount: 2658, Child: 2, Score: 1782.5, VisitCount: 5294, 
Round: 2, Child: 0, Score: 252.0, VisitCount: 1667, Child: 1, Score: 1106.0, VisitCount: 4563, Child: 2, Score: 277.0, VisitCount: 1537, 
Round: 3, Child: 0, Score: 142.0, VisitCount: 645, Child: 1, Score: 264.0, VisitCount: 1133, Child: 2, Score: 1989.5, VisitCount: 3573, 
Round: 4, Child: 0, Score: 528.5, VisitCount: 1657, Child: 1, Score: 1430.0, VisitCount: 4009, Child: 2, Score: 811.5, VisitCount: 2410, 
Round: 5, Child: 0, Score: 126.0, VisitCount: 849, Child: 1, Score: 1000.5, VisitCount: 3601, Child: 2, Score: 125.5, VisitCount: 849, 
Round: 6, Child: 0, Score: 1271.5, VisitCount: 4300, Child: 1, Score: 203.5, VisitCount: 1278, Child: 2, Score: 219.5, VisitCount: 1256, 
Round: 7, Child: 0, Score: 49.0, VisitCount: 405, Child: 1, Score: 90.0, VisitCount: 749, Child: 2, Score: 1375.5, VisitCount: 3309, 
Round: 8, Child: 0, Score: 917.5, VisitCount: 3236, Child: 1, Score: 377.0, VisitCount: 1514, Child: 2, Score: 167.0, VisitCount: 884, 
Round: 9, Child: 0, Score: 27.0, VisitCount: 353, Child: 1, Score: 48.5, VisitCount: 473, Child: 2, Score: 1715.5, VisitCount: 3365, 
Round: 10, Child: 0, Score: 7.0, VisitCount: 329, Child: 1, Score: 1683.0, VisitCount: 3251, Child: 2, Score: 52.5, VisitCount: 287, 
Round: 11, Child: 0, Score: 1838.0, VisitCount: 3157, Child: 1, Score: 2.0, VisitCount: 277, Child: 2, Score: 8.0, VisitCount: 253, 
Round: 12, Child: 0, Score: 72.0, VisitCount: 282, Child: 1, Score: 81.0, VisitCount: 282, Child: 2, Score: 1842.0, VisitCount: 3292, 
Round: 13, Child: 0, Score: 19.0, VisitCount: 73, Child: 1, Score: 2500.5, VisitCount: 3081, Child: 2, Score: 29.0, VisitCount: 105, 
Round: 14, Child: 0, Score: 6.0, VisitCount: 59, Child: 1, Score: 8.0, VisitCount: 59, Child: 2, Score: 2194.0, VisitCount: 3043, 
Round: 15, Child: 0, Score: 2702.5, VisitCount: 3054, Child: 1, Score: 10.0, VisitCount: 54, Child: 2, Score: 16.0, VisitCount: 58, 
Round: 16, Child: 0, Score: 0.0, VisitCount: 1011, Child: 1, Score: 0.0, VisitCount: 1011, Child: 2, Score: 0.0, VisitCount: 1011, 
Round: 17, Child: 0, Score: 1.0, VisitCount: 15, Child: 1, Score: 1485.0, VisitCount: 1487, Child: 2, Score: 1506.0, VisitCount: 1507, 
Round: 18, Child: 0, Score: 1501.0, VisitCount: 1502, Child: 1, Score: 1501.0, VisitCount: 1502, 
Round: 19, Child: 0, Score: 0.0, VisitCount: 3001, 
Round: 0, Child: 0, Score: 823.5, VisitCount: 2824, Child: 1, Score: 1947.0, VisitCount: 5756, Child: 2, Score: 866.5, VisitCount: 2790, 
